,Question_ID,Title,Content,Created at,User_ID,Is answered,Views count,Votes count,Bookmarks count,Answers count,Tags,Comments count,Question existed
0,1,What language should be first used to introduce coding,-,-,-,-,-,-,-,-,-,-,True
1,2,What autograding software do folks use for Java code?,"Grading currently either takes me a huge amount of time, or gets done in an extremely cursory way.  It occurs to me that, if my students were able to submit code into some sort of autotester, they would find many of their errors before I review their code.  This would mean that I would only have to look for clarity issues, not logic bugs.I am interested in software that (a) isn't too hard to set up, (b) will allow my students to test whether their code is (at least) to spec, and (c) allows me to quickly cycle through the code from all of the students in a section to look for style issues.I have looked far and wide, and have not yet found a reasonable system that accomplishes these three goals.  Many universities seem to have robust systems, but they all appear to be home-grown, and unavailable to outsiders.  Is anyone aware of such a system?  I honestly don't even care if it costs money - I just need a solution that makes this task more reasonable.",2017-05-23 14:20:02,27,True,"4,307",25,7,8,"['java', 'grading', 'auto-graders']",9,False
2,3,Is it possible to ensure division of labor on a group assignment?,"Let's say I've assigned my Intro to CS class their first group programming assignment. A common problem is that the most invested student in the group will end up doing the majority of the work. At grading time, there are techniques that can be used to determine how much work each individual did--I don't want to focus on that. Instead, I would like to hear if there are any ways to ensure that the group actually divides up tasks proportionately without planning their project for them.Is this possible? If so, how? More importantly, is it possible to do this without external pressure? How can we give them the incentive and tools to really want to cooperate? Assume that the class has been introduced to OOP and has completed a few assignments, but exposure to CS is minimal.Bonus: Is it actually better for the students' education to ensure this or to leave them to their own devices?",2017-05-23 14:20:35,7,True,471,10,0,4,['group-work'],1,False
3,4,Objects Lab Before Inheritance and Polymorphism,"I am finding it very difficult to create a lab for Objects in Java before we've involved Inheritance and Polymorphism.  The problem, as I see it, is that Inheritance and Polymorphism are basically the motivators for Objects in the first place.  As a result, the labs that I've created have all felt stodgy and artificial. However, as an instructional reality, waiting until we have all three ideas in place in a high school environment simply means biting off too much material.   Are there other ways to think about creating labs for Objects that would support the early understandings required while still being meaningful?",2017-05-23 14:21:14,27,True,631,9,1,11,"['object-oriented-paradigm', 'labs', 'ap-computer-science-a']",3,False
4,6,Teaching Induction to Prove the Correctness of Algorithms,"This is a subject that I have had a lot of trouble clarifying for students.  I can explain the components well enough, but I have trouble getting kids to connect the big picture of the proof to the smaller parts. Finding a good loop invariant almost seems more art than science, and while I can find them myself, I am at a loss with how to break that step down into coherent procedural steps.So, the question is this: how do you go about teaching Induction so that it is both intuitive and masterable?",2017-05-23 14:24:14,27,True,362,8,0,3,"['lesson-ideas', 'cs-theory', 'induction']",1,False
5,7,Should the first Programming/Algorithms class be taught in pseudo-code?,"When I was studying, my professors had different approaches when teaching programming to beginners:Choose a language with which the professor is comfortable and fulfills the course requirements but might not be so popular in the real world. I had this experience with Mathematica programming. We would spend lots of time dealing with this language and as a result less time dealing with the programming language per se.Teach in a flavor of pseudo-code. This makes it ""harder"" to commit errors cause by compilers, interpreters and syntax in general and allows the students to focus in the problem. Naturally has the disadvantage that you can't run your code anywhere.What do most professionals and students prefer when teaching/learning algorithms and basic programming?",2017-05-23 14:25:23,28,True,"1,270",22,1,9,['pseudo-code'],7,False
6,14,Cheating on labs,"It is spectacularly easy to cheat on CS labs at the high school level and above (roughly ages 14 and up), particularly on short, early assignments.  In fact, there is article in today's NY Times about this problem.For instance, for a very early assignment, a question might be:Create a small program that will ask the user for a word and a number n, and responds by printing out the word n times.This is a rather extreme example, but it could easily be the first part of a lab assignment for a student who has just encountered for loops for the first time.Detecting cheating here is nonsensical because a huge portion of the resulting code will be nearly identical even if the students didn't cheat. For that reason, I am seeking ways to discourage students from trying to cheat in the first place.What are some best practices for staving off the flow of plagiarism?",2017-05-23 14:51:40,27,True,"3,885",20,3,11,"['best-practice', 'labs', 'ethics', 'cheating']",9,False
7,17,Analogy for teaching recursion,"When teaching recursion, what is the best analogy people use to teach the idea of recursion. There are some nice artistic representations And the idea of repeatedly cutting a phone book or dictionary in half until you find a number/word (basically binary search). The only problem is students don't use phone books/paper dictionaries anymore and the artistic representation doesn't imply an end goal/state.",2017-05-23 15:00:50,48,True,"6,549",40,5,29,"['recursion', 'teaching-analogy']",18,False
8,19,Using Processing as an entry point in an Introductory Course,"We have two entry points for programming students here: one is web-oriented and features HTML5/CSS3/ECMA6, and the other is in a robotics environment using LabView.  Both classes address the ""big 5"": variables, objects, functions, conditional logic, and iteration.  We are thinking about a new entry point for a new audience. What features of the Processing language lend themselves to an introductory course? ",2017-05-23 15:05:29,21,True,565,6,0,6,"['curriculum-design', 'processing']",8,False
9,27,Should assembly language be taught in an introductory course (or soon after)?,"Should ye ole' fashioned assembly language be taught to help students develop a sense of how actual underlying computational hardware supports/allows running their higher-level or more abstract software?Something with (a limited amount of) a linear address space (global state memory) and a program counter with jumps (conditional control flow or GOTOs).Using something like Knuth's MIX, or the CARDIAC cardboard computer (this was actually used to teach programming in an introductory computing for non-programmers course I audited at Berkeley in the late '70's), or perhaps an emulator for an 8-bit retro-computer (such as Apple II or Altair) that can run inside a web browser.",2017-05-23 15:18:39,59,True,"1,447",21,1,12,"['curriculum-design', 'assembly']",0,False
