,Tag_ID,Title,Info
0,15,Java tag wiki,"Questions about instruction specific to the programming language Java. Use this tag only when the language used would affect the question significantly (if your question uses Java as an example, but does not focus on the language itself, you need not use the tag)."
1,102,Web-development tag wiki,"Questions about teaching HTML/CSS/JS or any language used to serve any kind of content, be it an API, a website, or anything else."
2,140,Processing tag wiki,"Questions about instruction specific to the programming language Processing. Use this tag only when the language used would affect the question significantly (if your question uses Processing as an example, but does not focus on the language itself, you need not use the tag)."
3,166,Language-choice tag wiki,Questions related to the choice of programming languages for different learning environments
4,192,Front-end tag wiki,"For questions regarding front-end web development. This includes HTML, CSS, and Javascript in any of their iterations. This does not include Graphical User Interfaces of other varieties, only those rendered in a web browser. This also does not include user experience/Interaction and behavioral prediction as they apply to web development."
5,194,Object-oriented-paradigm tag wiki,For question regarding the teaching of the object oriented paradigm. This can also be used in conjunction with more specific tags such as inheritance and classes.
6,196,Lesson-ideas tag wiki,"Questions with this tag relate to planning lessons for a specific purpose, such as teaching some coding paradigm or skill. Planning lessons in Computer Science depends on the context and level of the students. If it is a lesson which introduces a new topic, the tag [introductory-lesson] may also be appropriate."
7,246,High-school tag wiki,"Questions about CS teaching to high school level students. This should be used when the context or level of the answer or question is that of high school students. In many cases, an AP tag is more appropriate because AP classes are typically taught in high school."
8,255,Arrays tag wiki,For questions regarding the data storage structure of an Array. This can range from their standard indexing to their usage in comparison to other data structures. Arrays are an ordered list of elements which are usually all of the same type. Nested arrays can contain arrays as elements.
9,262,Teaching-analogy tag wiki,"Questions looking for analogies with which to teach computer science principles or concepts, or questions discussing specific teaching analogies for such computer science principles or concepts. Metaphors used in teaching is also an appropriate topic here."
10,273,Ap-computer-science-a tag wiki,Questions related to the course AP Computer Science A taught with the Java programming language.
11,275,Grading tag wiki,"Grading questions ask how to properly, effectively, and fairly assign grades to labs, assignments, and exams."
12,277,Algorithms tag wiki,This tag is for questions about presenting specific algorithms or general principles of algorithmic design and analysis to students.  It IS NOT for questions about writing or fixing algorithms.
13,284,Self-learning tag wiki,Questions regarding teaching a topic to yourself. Use this tag to ask about ways and methods of teaching which apply to teaching yourself.
14,297,Assembly tag wiki,"For questions about teaching any assembly language or teaching hardware level concepts where a knowledge of assembly would be relevant. Use this tag only when the language used would affect the question significantly (if your question uses an assembly language as an example, but does not focus on the language itself, you need not use the tag)."
15,300,Code-example tag wiki,Questions about using concrete code examples when teaching.
16,313,Html tag wiki,"Use this tag for questions about teaching HTML or using HTML in the classroom. DO NOT use this tag for questions or help with HTML itself.  HTML (Hyper Text Markup Language) is the standard markup language used for structuring web pages and formatting content. HTML describes the structure of a website semantically along with cues for presentation, making it a markup language, rather than a programming language."
17,315,Curriculum-design tag wiki,"The curriculum of a Computer Science course is a sequence of planned subjects that the students will be taught in the course. This tag should be used for questions asking for guidance on designing parts of that sequence, the entire sequence or questions related to the preferred order in which to teach subjects. Question relating to a single lesson should NOT receive this tag."
18,317,Css tag wiki,"CSS (Cascading Style Sheets) is a language used to describe the presentation of documents written in various markup languages, including HTML (Hyper Text Markup Language) and XML (Extensible Markup Language), and SVG elements. Use this tag for issues involving the teaching of CSS, or its use in the classroom. DO NOT use this tag for questions about CSS or its syntax."
19,319,Undergraduate tag wiki,"For questions about teaching Computer Science at an undergraduate level. Use this tag to clarify the level of the students being taught, but ensure that you provide as much context about their ability and experience in the question."
